,AMC240517P00000500,AMC240517P00001000,AMC240517P00001500,AMC240517P00002000,AMC240517P00002500,AMC240517P00003000,AMC240517P00003500,AMC240517P00004000,AMC240517P00004500,AMC240517P00005000,AMC240517P00005500,AMC240517P00006000,AMC240517P00006500,AMC240517P00007000,AMC240517P00008000,AMC240524P00000500,AMC240524P00001000,AMC240524P00001500,AMC240524P00002000,AMC240524P00002500,AMC240524P00003000,AMC240524P00003500,AMC240524P00004000,AMC240524P00004500,AMC240524P00005000,AMC240524P00005500,AMC240524P00006000,AMC240524P00006500,AMC240531P00000500,AMC240531P00001000,AMC240531P00001500,AMC240531P00002000,AMC240531P00002500,AMC240531P00003000,AMC240531P00003500,AMC240531P00004000,AMC240531P00004500,AMC240531P00005000,AMC240531P00005500,AMC240531P00006000,AMC240531P00006500,AMC240607P00000500,AMC240607P00001000,AMC240607P00001500,AMC240607P00002000,AMC240607P00002500,AMC240607P00003000,AMC240607P00003500,AMC240607P00004000,AMC240607P00004500,AMC240607P00005000,AMC240607P00005500,AMC240607P00006000,AMC240607P00006500,AMC240607P00007000,AMC240614P00000500,AMC240614P00001000,AMC240614P00001500,AMC240614P00002000,AMC240614P00002500,AMC240614P00003000,AMC240614P00003500,AMC240614P00004000,AMC240614P00004500,AMC240614P00005000,AMC240614P00005500,AMC240614P00006000,AMC240614P00006500,AMC240621P00000500,AMC240621P00001000,AMC240621P00001500,AMC240621P00002000,AMC240621P00002500,AMC240621P00003000,AMC240621P00003500,AMC240621P00004000,AMC240621P00004500,AMC240621P00005000,AMC240621P00005500,AMC240621P00006000,AMC240621P00007000,AMC240621P00008000,AMC240621P00009000,AMC240621P00010000,AMC240621P00011000,AMC240621P00012000,AMC240621P00013000,AMC240621P00014000,AMC240621P00015000,AMC240621P00016000,AMC240621P00017000,AMC240621P00019000,AMC240621P00020000,AMC240628P00000500,AMC240628P00001000,AMC240628P00001500,AMC240628P00002000,AMC240628P00002500,AMC240628P00003000,AMC240628P00003500,AMC240628P00004000,AMC240628P00004500,AMC240628P00005000,AMC240628P00005500,AMC240628P00006000,AMC240628P00006500,AMC240920P00000500,AMC240920P00001000,AMC240920P00001500,AMC240920P00002000,AMC240920P00002500,AMC240920P00003000,AMC240920P00003500,AMC240920P00004000,AMC240920P00004500,AMC240920P00005000,AMC240920P00005500,AMC240920P00006000,AMC240920P00007000,AMC240920P00008000,AMC240920P00009000,AMC241220P00000500,AMC241220P00001000,AMC241220P00001500,AMC241220P00002000,AMC241220P00002500,AMC241220P00003000,AMC241220P00003500,AMC241220P00004000,AMC241220P00004500,AMC241220P00005000,AMC241220P00005500,AMC241220P00006000,AMC241220P00007000,AMC250117P00000500,AMC250117P00001000,AMC250117P00001500,AMC250117P00002000,AMC250117P00002500,AMC250117P00003000,AMC250117P00003500,AMC250117P00004000,AMC250117P00004500,AMC250117P00005000,AMC250117P00005500,AMC250117P00006000,AMC250117P00007000,AMC250117P00008000,AMC250117P00010000,AMC250117P00012000,AMC250117P00015000,AMC250117P00017000,AMC250117P00020000,AMC250117P00022000,AMC250117P00025000,AMC250117P00027000,AMC250620P00000500,AMC250620P00001000,AMC250620P00001500,AMC250620P00002000,AMC250620P00002500,AMC250620P00003000,AMC250620P00003500,AMC250620P00004000,AMC250620P00004500,AMC250620P00005000,AMC250620P00005500,AMC250620P00007000,AMC250620P00008000,AMC250620P00010000,AMC250620P00012000,AMC250620P00015000,AMC250620P00017000,AMC250620P00020000,AMC250620P00022000,AMC250620P00025000,AMC250620P00027000,AMC260116P00000500,AMC260116P00001000,AMC260116P00001500,AMC260116P00002000,AMC260116P00002500,AMC260116P00003000,AMC260116P00003500,AMC260116P00004000,AMC260116P00004500,AMC260116P00005000,AMC260116P00005500,AMC260116P00007000,AMC260116P00010000,AMC260116P00012000,AMC260116P00015000,AMC260116P00020000
2024-05-10 09:30:00-04:00,,,,,0.029999999329447746,0.23000000417232513,0.5799999833106995,1.0099999904632568,,,,,,,,,,,,0.10000000149011612,,,,,,,,,,,,,,0.30000001192092896,,,,,,,,,,,,0.17000000178813934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7400000095367432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7799999713897705,,,,,,,,4.900000095367432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.130000114440918,,,2.950000047683716,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:31:00-04:00,,,,,0.03999999910593033,0.2199999988079071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4000000059604645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:32:00-04:00,,,,0.009999999776482582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1100000143051147,,,,,,,,,,,
2024-05-10 09:33:00-04:00,,,,,0.03999999910593033,0.23000000417232513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09000000357627869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:34:00-04:00,,,,,,,0.6299999952316284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:35:00-04:00,,,,,,,0.5799999833106995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.649999976158142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11999999731779099,0.25999999046325684,,0.8600000143051147,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33000001311302185,,0.8199999928474426,,,,,,,,,,,,
2024-05-10 09:36:00-04:00,,,,,0.03999999910593033,0.20000000298023224,0.5600000023841858,,,,,,,,,,,,,,,,,,,,,,,,,0.029999999329447746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:37:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000000149011612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:38:00-04:00,,,,,0.05000000074505806,0.20000000298023224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:39:00-04:00,,,,0.009999999776482582,0.03999999910593033,0.20000000298023224,,,,,,,,,,,,,0.03999999910593033,,,,,,,,,,,,,,0.10999999940395355,,,,,,,,,,,,0.07999999821186066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:40:00-04:00,,,,,,,0.5400000214576721,,,,,,,,,,,,0.029999999329447746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:41:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.949999809265137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:42:00-04:00,,,,,,0.1899999976158142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000074505806,,,0.4699999988079071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:43:00-04:00,,,,,,0.1899999976158142,,,,,,,,,,,,,,,,,1.1299999952316284,,,,,,,,,,,,,,,,,,,,,,,,0.3700000047683716,,,,,,,,,,,,,,,,,,,,,,,,,,0.25999999046325684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.090000033378601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:44:00-04:00,,,,,,,,,,,,,,,,,,,,,0.30000001192092896,,,,,,,,,,,,,,,,,,,,,,,,0.07000000029802322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4699999988079071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:46:00-04:00,,,,,0.029999999329447746,0.1899999976158142,,,,,,,,,,,,,,0.07999999821186066,0.2800000011920929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:47:00-04:00,,,,,,,,,,,,,,,,,,,,0.09000000357627869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.559999942779541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:48:00-04:00,,,,,0.029999999329447746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.559999942779541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.909999966621399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:49:00-04:00,,,,,,0.18000000715255737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11999999731779099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:50:00-04:00,,,,,0.029999999329447746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:51:00-04:00,,,,,,0.18000000715255737,0.5400000214576721,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6399999856948853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
