,BB240517C00000500,BB240517C00001500,BB240517C00002000,BB240517C00002500,BB240517C00003000,BB240517C00003500,BB240517C00004000,BB240517C00004500,BB240517C00005000,BB240517C00005500,BB240517C00006000,BB240524C00002000,BB240524C00002500,BB240524C00003000,BB240524C00003500,BB240524C00004000,BB240524C00004500,BB240524C00005000,BB240524C00005500,BB240524C00006000,BB240531C00002000,BB240531C00002500,BB240531C00003000,BB240531C00003500,BB240531C00004000,BB240531C00004500,BB240531C00005000,BB240531C00005500,BB240531C00006000,BB240607C00002000,BB240607C00002500,BB240607C00003000,BB240607C00003500,BB240607C00004000,BB240607C00004500,BB240607C00005000,BB240607C00005500,BB240607C00006000,BB240614C00002500,BB240614C00003000,BB240614C00003500,BB240614C00004000,BB240614C00004500,BB240614C00005000,BB240614C00005500,BB240614C00006000,BB240621C00000500,BB240621C00001000,BB240621C00001500,BB240621C00002000,BB240621C00002500,BB240621C00003000,BB240621C00003500,BB240621C00004000,BB240621C00004500,BB240621C00005000,BB240621C00005500,BB240621C00006000,BB240621C00007000,BB240621C00010000,BB240628C00002000,BB240628C00003000,BB240628C00003500,BB240628C00004000,BB240628C00004500,BB240628C00005000,BB240628C00005500,BB240628C00006000,BB240719C00000500,BB240719C00001000,BB240719C00001500,BB240719C00002000,BB240719C00002500,BB240719C00003000,BB240719C00003500,BB240719C00004000,BB240719C00004500,BB240719C00005000,BB240719C00005500,BB240719C00007000,BB240719C00010000,BB240920C00000500,BB240920C00001000,BB240920C00001500,BB240920C00002000,BB240920C00002500,BB240920C00003000,BB240920C00003500,BB240920C00004000,BB240920C00004500,BB240920C00005000,BB240920C00005500,BB240920C00006000,BB241220C00002500,BB241220C00003000,BB241220C00003500,BB241220C00004000,BB241220C00004500,BB241220C00005000,BB241220C00005500,BB250117C00000500,BB250117C00001000,BB250117C00001500,BB250117C00002000,BB250117C00002500,BB250117C00003000,BB250117C00003500,BB250117C00004000,BB250117C00004500,BB250117C00005000,BB250117C00005500,BB250117C00007000,BB250117C00010000,BB250117C00012000,BB260116C00000500,BB260116C00001000,BB260116C00001500,BB260116C00002000,BB260116C00002500,BB260116C00003000,BB260116C00003500,BB260116C00004000,BB260116C00004500,BB260116C00005000,BB260116C00005500,BB260116C00007000,BB260116C00010000
2024-05-10 09:30:00-04:00,,,,,0.11999999731779099,0.03999999910593033,,,,,,,,,,,,,,,,,,0.03999999910593033,,,,,,,,0.2199999988079071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18000000715255737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3199999928474426,,0.1899999976158142,,,,,,,,,,,,,,,,,
2024-05-10 09:31:00-04:00,,,,,0.14000000059604645,,,,,,,,,0.17000000178813934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17000000178813934,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:32:00-04:00,,,,,0.15000000596046448,,,,,,,,,,,,,,,,,,0.20000000298023224,,0.03999999910593033,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10999999940395355,,,,,,,,,,,,,,,,,,,,,0.3400000035762787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:33:00-04:00,,,,,,0.03999999910593033,0.019999999552965164,,,,,,,,,,,,,,,,0.20000000298023224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:34:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019999999552965164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:35:00-04:00,,,,,,0.03999999910593033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:36:00-04:00,,,,,,,,0.009999999776482582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03999999910593033,,,,,,,,,,,,,
2024-05-10 09:38:00-04:00,,,,,,0.029999999329447746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03999999910593033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:39:00-04:00,,,,,,,,,0.009999999776482582,,,,,,,,,,,,,,0.20000000298023224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000000149011612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:41:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,
2024-05-10 09:42:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:43:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000074505806,,,,,,,,,,,,,,,,,0.029999999329447746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:46:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,0.029999999329447746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:50:00-04:00,,,,,0.12999999523162842,0.029999999329447746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09000000357627869,,,,,,,,,,,,,,,,,,,,,0.33000001311302185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:51:00-04:00,,,,,,,,,,,,,,,,,,0.019999999552965164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019999999552965164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:53:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20000000298023224,,,,,,,,,,,,,,,,,
2024-05-10 09:54:00-04:00,,,,,0.12999999523162842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07000000029802322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
