Datetime,GME240517P00003000,GME240517P00004000,GME240517P00005000,GME240517P00005500,GME240517P00006000,GME240517P00006500,GME240517P00007000,GME240517P00007500,GME240517P00008000,GME240517P00008500,GME240517P00009000,GME240517P00009500,GME240517P00010000,GME240517P00010500,GME240517P00011000,GME240517P00011500,GME240517P00012000,GME240517P00012500,GME240517P00013000,GME240517P00013500,GME240517P00014000,GME240517P00014500,GME240517P00015000,GME240517P00015500,GME240517P00016000,GME240517P00016500,GME240517P00017000,GME240517P00017500,GME240517P00018000,GME240517P00018500,GME240517P00019000,GME240517P00019500,GME240517P00020000,GME240517P00020500,GME240517P00021000,GME240517P00021500,GME240517P00022000,GME240517P00022500,GME240517P00023000,GME240517P00024000,GME240517P00025000,GME240517P00026000,GME240517P00027000,GME240517P00028000,GME240517P00029000,GME240517P00030000,GME240517P00031000,GME240517P00032000,GME240517P00033000,GME240517P00034000,GME240517P00037000,GME240517P00038000,GME240517P00040000,GME240517P00050000,GME240517P00051000,GME240524P00002500,GME240524P00005000,GME240524P00006000,GME240524P00006500,GME240524P00007000,GME240524P00007500,GME240524P00008000,GME240524P00008500,GME240524P00009000,GME240524P00009500,GME240524P00010000,GME240524P00010500,GME240524P00011000,GME240524P00011500,GME240524P00012000,GME240524P00012500,GME240524P00013000,GME240524P00013500,GME240524P00014000,GME240524P00014500,GME240524P00015000,GME240524P00015500,GME240524P00016000,GME240524P00016500,GME240524P00017000,GME240524P00017500,GME240524P00018000,GME240524P00018500,GME240524P00019000,GME240524P00019500,GME240524P00020000,GME240524P00020500,GME240524P00021000,GME240524P00021500,GME240524P00022000,GME240524P00022500,GME240524P00023000,GME240524P00023500,GME240524P00024000,GME240524P00024500,GME240524P00025000,GME240524P00025500,GME240524P00026000,GME240524P00026500,GME240524P00027000,GME240524P00028000,GME240524P00029000,GME240524P00030000,GME240524P00031000,GME240524P00032000,GME240524P00033000,GME240524P00034000,GME240531P00002500,GME240531P00005000,GME240531P00006000,GME240531P00006500,GME240531P00007000,GME240531P00007500,GME240531P00008000,GME240531P00008500,GME240531P00009000,GME240531P00009500,GME240531P00010000,GME240531P00010500,GME240531P00011000,GME240531P00011500,GME240531P00012000,GME240531P00012500,GME240531P00013000,GME240531P00013500,GME240531P00014000,GME240531P00014500,GME240531P00015000,GME240531P00015500,GME240531P00016000,GME240531P00016500,GME240531P00017000,GME240531P00017500,GME240531P00018000,GME240531P00018500,GME240531P00019000,GME240531P00019500,GME240531P00020000,GME240531P00020500,GME240531P00021000,GME240531P00021500,GME240531P00022000,GME240531P00022500,GME240531P00023000,GME240531P00024000,GME240531P00025000,GME240531P00026000,GME240531P00027000,GME240531P00028000,GME240531P00029000,GME240531P00030000,GME240531P00031000,GME240531P00032000,GME240531P00033000,GME240531P00034000,GME240607P00002500,GME240607P00005000,GME240607P00005500,GME240607P00006000,GME240607P00006500,GME240607P00007000,GME240607P00007500,GME240607P00008000,GME240607P00008500,GME240607P00009000,GME240607P00009500,GME240607P00010000,GME240607P00010500,GME240607P00011000,GME240607P00011500,GME240607P00012000,GME240607P00012500,GME240607P00013000,GME240607P00013500,GME240607P00014000,GME240607P00014500,GME240607P00015000,GME240607P00015500,GME240607P00016000,GME240607P00016500,GME240607P00017000,GME240607P00017500,GME240607P00018000,GME240607P00018500,GME240607P00019000,GME240607P00019500,GME240607P00020000,GME240607P00020500,GME240607P00021000,GME240607P00021500,GME240607P00022000,GME240607P00022500,GME240607P00023000,GME240607P00024000,GME240607P00025000,GME240607P00026000,GME240607P00027000,GME240607P00028000,GME240607P00029000,GME240607P00030000,GME240607P00031000,GME240607P00032000,GME240607P00033000,GME240607P00034000,GME240614P00002500,GME240614P00005000,GME240614P00005500,GME240614P00006000,GME240614P00006500,GME240614P00007000,GME240614P00007500,GME240614P00008000,GME240614P00008500,GME240614P00009000,GME240614P00009500,GME240614P00010000,GME240614P00010500,GME240614P00011000,GME240614P00011500,GME240614P00012000,GME240614P00012500,GME240614P00013000,GME240614P00013500,GME240614P00014000,GME240614P00014500,GME240614P00015000,GME240614P00015500,GME240614P00016000,GME240614P00016500,GME240614P00017000,GME240614P00017500,GME240614P00018000,GME240614P00018500,GME240614P00019000,GME240614P00019500,GME240614P00020000,GME240614P00020500,GME240614P00021000,GME240614P00021500,GME240614P00022000,GME240614P00022500,GME240614P00023000,GME240614P00024000,GME240614P00025000,GME240614P00026000,GME240614P00027000,GME240614P00028000,GME240614P00029000,GME240614P00030000,GME240614P00031000,GME240614P00032000,GME240614P00033000,GME240614P00034000,GME240621P00002000,GME240621P00003000,GME240621P00004000,GME240621P00005000,GME240621P00006000,GME240621P00007000,GME240621P00008000,GME240621P00009000,GME240621P00010000,GME240621P00011000,GME240621P00012000,GME240621P00013000,GME240621P00014000,GME240621P00015000,GME240621P00016000,GME240621P00017000,GME240621P00018000,GME240621P00019000,GME240621P00020000,GME240621P00021000,GME240621P00022000,GME240621P00023000,GME240621P00024000,GME240621P00025000,GME240621P00026000,GME240621P00027000,GME240621P00028000,GME240621P00029000,GME240621P00030000,GME240621P00031000,GME240621P00032000,GME240621P00033000,GME240621P00034000,GME240621P00035000,GME240621P00037000,GME240621P00040000,GME240628P00005000,GME240628P00006000,GME240628P00007000,GME240628P00008000,GME240628P00009000,GME240628P00010000,GME240628P00010500,GME240628P00011000,GME240628P00011500,GME240628P00012000,GME240628P00013000,GME240628P00013500,GME240628P00014000,GME240628P00014500,GME240628P00015000,GME240628P00015500,GME240628P00016000,GME240628P00016500,GME240628P00017000,GME240628P00017500,GME240628P00018000,GME240628P00018500,GME240628P00019000,GME240628P00019500,GME240628P00020000,GME240628P00020500,GME240628P00021000,GME240628P00021500,GME240628P00022000,GME240628P00023000,GME240628P00024000,GME240628P00025000,GME240628P00026000,GME240628P00027000,GME240628P00028000,GME240628P00030000,GME240719P00003000,GME240719P00004000,GME240719P00005000,GME240719P00006000,GME240719P00007000,GME240719P00008000,GME240719P00009000,GME240719P00010000,GME240719P00011000,GME240719P00012000,GME240719P00013000,GME240719P00014000,GME240719P00015000,GME240719P00016000,GME240719P00017000,GME240719P00018000,GME240719P00019000,GME240719P00020000,GME240719P00021000,GME240719P00022000,GME240719P00023000,GME240719P00024000,GME240719P00025000,GME240719P00026000,GME240719P00027000,GME240719P00028000,GME240719P00029000,GME240719P00030000,GME240719P00031000,GME240719P00032000,GME240719P00033000,GME240719P00034000,GME240719P00035000,GME240719P00037000,GME240719P00040000,GME241018P00003000,GME241018P00005000,GME241018P00006000,GME241018P00007000,GME241018P00008000,GME241018P00009000,GME241018P00010000,GME241018P00011000,GME241018P00012000,GME241018P00013000,GME241018P00014000,GME241018P00015000,GME241018P00016000,GME241018P00017000,GME241018P00018000,GME241018P00019000,GME241018P00020000,GME241018P00021000,GME241018P00022000,GME241018P00023000,GME241018P00024000,GME241018P00025000,GME241018P00026000,GME241018P00027000,GME241018P00028000,GME241018P00029000,GME241018P00030000,GME241018P00031000,GME241018P00032000,GME241018P00033000,GME241018P00034000,GME241018P00035000,GME241018P00037000,GME241018P00040000,GME250117P00003000,GME250117P00005000,GME250117P00006000,GME250117P00007000,GME250117P00008000,GME250117P00009000,GME250117P00010000,GME250117P00011000,GME250117P00012000,GME250117P00013000,GME250117P00014000,GME250117P00015000,GME250117P00016000,GME250117P00017000,GME250117P00018000,GME250117P00019000,GME250117P00020000,GME250117P00022000,GME250117P00023000,GME250117P00024000,GME250117P00025000,GME250117P00026000,GME250117P00027000,GME250117P00028000,GME250117P00029000,GME250117P00030000,GME250117P00031000,GME250117P00032000,GME250117P00033000,GME250117P00034000,GME250117P00035000,GME250117P00037000,GME250117P00040000,GME250117P00045000,GME250117P00050000,GME250117P00055000,GME250117P00060000,GME250620P00003000,GME250620P00005000,GME250620P00008000,GME250620P00010000,GME250620P00013000,GME250620P00015000,GME250620P00017000,GME250620P00020000,GME250620P00022000,GME250620P00025000,GME250620P00027000,GME250620P00030000,GME250620P00032000,GME250620P00035000,GME250620P00040000,GME260116P00003000,GME260116P00005000,GME260116P00008000,GME260116P00010000,GME260116P00013000,GME260116P00015000,GME260116P00017000,GME260116P00020000,GME260116P00022000,GME260116P00025000,GME260116P00027000,GME260116P00030000,GME260116P00032000,GME260116P00035000,GME260116P00037000
2024-05-10 09:30:00-04:00,,,,,,,,,0.009999999776482582,,,,,,,,0.12999999523162842,0.05000000074505806,0.25,0.3199999928474426,0.3199999928474426,0.5,0.7799999713897705,1.2300000190734863,1.190000057220459,1.6299999952316284,1.7100000381469727,,2.359999895095825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009999999776482582,,,,,,,,,0.15000000596046448,,0.25,,,,0.699999988079071,,,,,2.0399999618530273,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029999999329447746,,,,,,,0.1899999976158142,,0.27000001072883606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,1.659999966621399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11999999731779099,,,,,,,,,,,,,,,,,,,,,,,,4.099999904632568,,,,,,,,,,,,,,,,,,,,,,,,0.05999999865889549,,,,0.20000000298023224,,0.49000000953674316,1.0399999618530273,,,1.909999966621399,2.5,2.990000009536743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,2.359999895095825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.299999952316284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:31:00-04:00,,,,,,,,,,,0.019999999552965164,,0.03999999910593033,,,,0.12999999523162842,,,,0.36000001430511475,0.5699999928474426,,,,1.8600000143051147,,2.109999895095825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009999999776482582,0.019999999552965164,,,,,,,,,,,,,,,,,,,,2.0799999237060547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4699999988079071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3399999141693115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:32:00-04:00,,,,,,,,,,,,,,,,,,,,,0.3799999952316284,,0.6100000143051147,,1.2899999618530273,,2.0199999809265137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1699999570846558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:33:00-04:00,,,,,,,,,0.019999999552965164,,,,,,,,,,0.20000000298023224,,,,0.800000011920929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5800000429153442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:34:00-04:00,,,,,,,,0.009999999776482582,,,,,,,,,,,,,,,,,1.2599999904632568,,1.8700000047683716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44999998807907104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4600000381469727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27000001072883606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:35:00-04:00,,,,,,,,,,,,,,,,,,,0.23999999463558197,,0.49000000953674316,0.550000011920929,,1.0700000524520874,,1.5,,2.2899999618530273,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30000001192092896,,0.6499999761581421,1.090000033378601,,2.119999885559082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:36:00-04:00,,,,,,,,,,,,,,,0.05999999865889549,,,,,0.3100000023841858,,,0.7400000095367432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:37:00-04:00,,,,,,,,,,,,,,,,,,0.1599999964237213,,,,,,,1.159999966621399,,,,,,,,,,,,,,,,,,,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4000000059604645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.699999988079071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.619999885559082,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:38:00-04:00,,,,,,,,,,,,,,,,,,,0.23000000417232513,,,,0.8500000238418579,,,,1.840000033378601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20000000298023224,,,,,,1.090000033378601,,,1.8899999856948853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3400000035762787,,,,,1.940000057220459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.150000095367432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10 09:39:00-04:00,,,,,,,,,,,,,,,,,,,,,,,0.75,1.1100000143051147,,,,2.4200000762939453,,,,,3.9000000953674316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5299999713897705,,,1.1100000143051147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1899999976158142,,,,1.0499999523162842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
